source_asin,source,listing_url,product_type,relevance_score,competitor_type,product_form,material,material_evidence,detail_material,detail_evidence,pack_count,closure,style,use_case,feature_tags,asin,parent_asin,title,brand,price,monthly_sales,reviews,rating,seller_address,is_fba,variation_count,bsr_category,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0F388F2Q5,VALVE,61.4,direct,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,giftable,unknown,washable,B0F388F2Q5,B0F388F2Q5,"Upgrade Brass Garden Hose Splitter 2 Way Heavy Duty Y Valve With Stainless Steel Long Handle,4 Leakproof Washers,2 Connector,1 Tape As Gift,3/4' GHT Thread Water Hose Adapter",lucdnc,19.99,100.0,139.0,4.6,CN,True,1.0,Garden Hose Splitters / 17384647011 / 138,https://m.media-amazon.com/images/I/71Jq-RaY9hL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B086TXJYX1,HOSE PIPE FITTING,61.1,direct,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B086TXJYX1,B086TXJYX1,HQMPC Brass Garden Hose Y Valve Hose Splitter Water Garden Hose Adapter 2 Way 3/4“ GHT Thread,HQMPC,9.49,100.0,2720.0,4.5,CN,True,0.0,Garden Hose Splitters / 17384647011 / 119,https://m.media-amazon.com/images/I/61Wh5Xsx-QL._AC_SL1000_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0FF2CY1KB,HOSE PIPE FITTING,60.6,direct,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,,B0FF2CY1KB,B0FF29P92Y,Lead-free Hose Splitter 2 Way Heavy Duty ，304 Stainless Steel Garden Hose Splitter with Long Handle，Outdoor Full Flow Y Valve ，3/4 Inch GHT Thread,AIRLUNCH,14.99,100.0,47.0,4.6,CN,True,1.0,Garden Hose Splitters / 17384647011 / 108,https://m.media-amazon.com/images/I/71aFGhwRcRL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0GGNG2T8T,HOSE PIPE FITTING,60.0,direct,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,,B0GGNG2T8T,B0GS944JCF,"RAINPOINT 4 Way Garden Hose Splitter, 100% Metal Heavy Duty Water Hose Splitter with Individual Shut-Off Valves, 3/4“ GHT High Flow Outdoor Faucet Splitter, 1.81“ Extra Long Handle (Green)",RAINPOINT,42.99,1000.0,170.0,4.6,CN,True,4.0,Garden Hose Splitters / 17384647011 / 24,https://m.media-amazon.com/images/I/61uA48ZrgXL.jpg,research/B0FHBMG2B3/images/34_B0GGNG2T8T.jpg,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DTKRPFM9,HOSE PIPE FITTING,59.7,direct,unknown,stainless steel,detail:stainless steel,stainless steel,detail:stainless steel,1,unknown,unknown,unknown,,B0DTKRPFM9,B0DTKQJ9W3,Garden Hose Splitter High Flow Splitter with Swivel elbow Connect Brass Hose Splitter with Shut Off Valves 3 way Hose Bib Adapter (with Swivel elbow),YELUN,43.6,100.0,144.0,4.5,CN,True,2.0,Garden Hose Splitters / 17384647011 / 102,https://m.media-amazon.com/images/I/71-gyZTdmWL.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DPFMW62M,HOSE PIPE FITTING,59.5,direct,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B0DPFMW62M,B0FF9KCB6Z,"ATAOSGR Garden Hose Splitter 3 Way, Outdoor Faucet Splitter,Tap Adapter, Hose Adapter with 3 Valves Garden Hose Connector for Garden Outdoor Home, Orange",ATAOSGR,19.58,50.0,194.0,4.3,CN,True,4.0,Garden Hose Splitters / 17384647011 / 89,https://m.media-amazon.com/images/I/71C1usipEjL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0CTKHPCTX,HOSE PIPE FITTING,59.3,direct,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,washable,B0CTKHPCTX,B0H24W8K8C,"IPOW 3 Way 1.2MPa High Flow Heavy Duty Garden Hose Splitter, 3/4“ Spigot Faucet Connectors with 6 Rubber Hose Washers and Comfort Grip Use, Hose Pipe Tap Splitter for Garden Outdoor Home",IPOW,19.89,200.0,389.0,4.3,CN,True,5.0,Garden Hose Splitters / 17384647011 / 52,https://m.media-amazon.com/images/I/71kxfHGbt6L._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DRCSGWWH,HOSE PIPE FITTING,57.6,keyword,unknown,unknown,,unknown,,2,unknown,unknown,unknown,washable,B0DRCSGWWH,B0GSY8KZ39,"Dalmbox Garden Hose Splitter 4 Way, Water Hose Splitter, 3/4' Heavy-Duty Brass Garden Hose Splitter, Includes 9 Rubber Washers & Teflon Tape(2 pack)",Dalmbox,29.99,50.0,685.0,4.6,CN,True,6.0,Garden Hose Splitters / 17384647011 / 12,https://m.media-amazon.com/images/I/81I7YU97FAL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B08QCXF8VX,HOSE PIPE FITTING,57.1,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,washable,B08QCXF8VX,B09ZKZKPZ6,"Biswing Garden Hose Splitter 2 Way, Heavy Duty Brass Connector Tap Splitter, Y Splitter 2 Valves with 2 Extra Rubber Washers",Biswing,11.99,20000.0,8636.0,4.6,US,True,3.0,Garden Hose Splitters / 17384647011 / 1,https://m.media-amazon.com/images/I/71EsWQTbFvL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0879KC762,HOSE PIPE FITTING,57.1,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,washable,B0879KC762,B0GLPB18QT,"Hourleey Brass Garden Hose Splitter 2 Way, 3/4 Inch Hose Connector Tap Splitter, Hose Y Splitter, Hose Spigot Adapter 2 Valves with Extra Rubber Washers",Hourleey,5.99,4000.0,2399.0,4.6,CN,True,3.0,Garden Hose Splitters / 17384647011 / 6,https://m.media-amazon.com/images/I/71edly4wNnL._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0BXJPW6S1,HOSE PIPE FITTING,56.6,keyword,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,washable,B0BXJPW6S1,B0D9HNFP1Q,"Sanpaint Garden Hose Splitter 2 Way Heavy Duty, Y Connector Brass Garden Hose Adapter, Hose Bib Splitter with 2 Extra Rubber Washers",Sanpaint,6.99,4000.0,2483.0,4.6,HK,True,2.0,Garden Hose Splitters / 17384647011 / 10,https://m.media-amazon.com/images/I/71IXhDgfCML.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DSPQBZPQ,HOSE PIPE FITTING,56.2,keyword,unknown,plastic,detail:plastic,plastic,detail:plastic,1,unknown,unknown,unknown,washable,B0DSPQBZPQ,B0FJXX9LYF,"2 Way Garden Hose Splitter with Shut Off Valve,Water Spigot Splitter for 3/4“ Hose Connector,Heavy Duty Metal Outdoor Faucet Splitter Y Connector for Garden Hose,with 3 Leakproof Washers & 1 tape",BKV,9.99,4000.0,1126.0,4.5,CN,True,4.0,Garden Hose Splitters / 17384647011 / 7,https://m.media-amazon.com/images/I/71IV8G1X-hL.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0GRZVTFFH,HOSE PIPE FITTING,55.5,keyword,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,washable; extra large,B0GRZVTFFH,B0GRZVTFFH,"2 Way Brass Garden Hose Splitter Heavy Duty, 360° Rotatable Y Valve, Full Flow Large Ball Valve, 304 Stainless Steel Long Handle, 3/4' GHT Thread for Outdoor Faucet Lawn Irrigation Car Wash",FINEST+,28.98,100.0,19.0,5.0,CN,True,0.0,Splitters / 17384647011 / 132,https://m.media-amazon.com/images/I/614lyt6cE7L._AC_SL1500_.jpg,,,,,,,
B0FHBMG2B3,keyword/category,https://www.amazon.com/dp/B0DLP4VHSF,HOSE PIPE FITTING,54.3,keyword,unknown,stainless steel,title:stainless steel; detail:stainless steel,stainless steel,title:stainless steel; detail:stainless steel,1,unknown,unknown,unknown,,B0DLP4VHSF,B0GT4NS9PB,"2 Way Garden Hose Splitter, Heavy Duty Brass Y Valve, 3/4” GHT Outdoor Faucet Splitter with Dual Shut Off Valves, 304 Stainless Steel Long Handles, Leak-Proof",windblowgrass,17.66,100.0,155.0,4.6,CN,True,4.0,Garden Hose Splitters / 17384647011 / 94,https://m.media-amazon.com/images/I/61XZnwKmiaL.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B019MS0HK8,HOSE PIPE FITTING,53.9,keyword,unknown,unknown,,unknown,,1,unknown,unknown,unknown,,B019MS0HK8,B0GXWS7NJ9,2WAYZ Hose Splitter 2 Way Heavy Duty Outdoor Faucet and Garden Connector - Water Spigot Splitter - Durable All-Metal Y Adapter with Shut-Off Valve - 4 x 4 x 1.5 Inches,2WAYZ,21.99,7000.0,36016.0,4.4,US,True,2.0,Splitters / 17384647011 / 3,https://m.media-amazon.com/images/I/71Pg-LpUYyL.jpg,,,,,,,
B0FHBMG2B3,keyword,https://www.amazon.com/dp/B0D5CQM8MH,HOSE PIPE FITTING,53.0,keyword,unknown,silicone,title:silicone; detail:silicone,silicone,title:silicone; detail:silicone,1,lid,unknown,unknown,washable,B0D5CQM8MH,B0D5CQM8MH,"SANTONG High Flow Solid Metal 2 Way ├ Type Garden Hose Splitter with Shut-Off Valves, 360 Degree Rotation 3/4“ Spigot Faucet Connectors with 2 Extra Silicone Washers",SANTONG,18.99,600.0,339.0,4.4,CN,True,1.0,Garden Hose Splitters / 17384647011 / 51,https://m.media-amazon.com/images/I/81gPyUjH0CL.jpg,,,,,,,
