category_id,name,path,depth,is_leaf,selection_score,rotation_bucket,previous_last_scanned_at,previous_scan_count,products_examined,candidate_count,scan_completed_at,scan_status,scan_error,category_total_sales,category_median_reviews,category_top10_median_reviews,category_top_brand,category_top_brand_share,category_top10_sales_share,category_low_review_high_sales_count,category_new_listing_share_12m,category_cn_hk_seller_share,category_fba_share,category_price_median,category_health_score,category_health_flags,category_health_rank
21208375011,Outdoor Hanging Brackets,"Patio, Lawn & Garden > Gardening > Pots, Planters & Container Accessories > Plant Container Accessories > Hooks & Hangers > Outdoor Hanging Brackets",5,True,40.0,never_scanned,,0,100,11,2026-09-02T22:38:10,success,,97393.0,550.0,1708.0,saffruff,0.2,0.377,12,0.16,0.91,1.0,9.99,72.7,top10 review wall; price band outside target,39
21208376011,Outdoor Shepherd‘s Hooks,"Patio, Lawn & Garden > Gardening > Pots, Planters & Container Accessories > Plant Container Accessories > Hooks & Hangers > Outdoor Shepherd‘s Hooks",5,True,40.0,never_scanned,,0,100,4,2026-09-02T22:38:10,success,,74949.0,296.0,2692.0,FEED GARDEN,0.3,0.565,5,0.292,0.96,0.99,23.99,81.5,top10 review wall,17
3400591,Open Fire Cookware,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Camping Cookware > Open Fire Cookware,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,13625.0,140.0,766.0,Odoland,0.4,0.654,1,0.06,0.53,0.88,30.64,48.2,brand concentration,99
3258961011,"Pots, Pans & Griddles","Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Camping Cookware > Pots, Pans & Griddles",5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,24976.0,122.0,898.0,Odoland,0.2,0.51,2,0.21,0.62,0.96,29.95,71.0,,46
3400711,Bowls,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Bowls,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,24059.0,37.0,428.0,YETI,0.2,0.683,3,0.29,0.59,0.9,16.25,78.4,,22
3400731,Cups & Mugs,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Cups & Mugs,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,50084.0,194.0,584.0,STANLEY,0.4,0.593,6,0.235,0.55,0.94,14.96,79.9,brand concentration,19
3400741,Flatware,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Flatware,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,134789.0,565.0,2168.0,Quatish,0.4,0.609,13,0.131,0.67,0.97,9.99,61.7,top10 review wall; brand concentration; price band outside target,81
3400751,Mess Kits,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Mess Kits,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,14644.0,48.0,1321.0,Odoland,0.3,0.664,1,0.31,0.58,0.91,23.99,71.3,,45
3400771,Plates,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Dishes & Utensils > Plates,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:10,success,,18718.0,35.0,624.0,Quatish,0.1,0.706,3,0.286,0.63,0.88,19.98,79.0,sales concentration,21
3401031,Empty Fuel Bottles,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stove Accessories > Empty Fuel Bottles,5,True,40.0,never_scanned,,0,79,5,2026-09-02T22:38:10,success,,5499.0,36.0,590.0,Flame King,0.3,0.732,1,0.141,0.215,0.481,17.99,56.6,sales concentration,91
2204647011,Fire Starters,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stove Accessories > Fire Starters,5,True,40.0,never_scanned,,0,100,8,2026-09-02T22:38:10,success,,31055.0,306.0,1746.0,Duraflame,0.2,0.534,2,0.232,0.29,0.83,18.49,68.5,top10 review wall,53
3400961,Replacement Fuel,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stove Accessories > Replacement Fuel,5,True,40.0,never_scanned,,0,100,4,2026-09-02T22:38:11,success,,40865.0,223.0,1487.0,TIKI,0.2,0.71,3,0.08,0.17,0.4,25.99,56.5,sales concentration,92
19450135011,Backpacking Stoves,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Backpacking Stoves,5,True,40.0,never_scanned,,0,100,3,2026-09-02T22:38:11,success,,15563.0,138.0,1035.0,Jetboil,0.4,0.634,1,0.21,0.51,0.89,29.99,61.2,brand concentration,83
3401041,Camping Grills,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Grills,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:11,success,,20904.0,68.0,444.0,Gas One,0.2,0.703,1,0.3,0.46,0.78,35.99,71.4,sales concentration,44
19450136011,Camping Stoves,Sports & Outdoors > Outdoor Recreation > Camping & Hiking > Camp Kitchen > Stoves & Grills > Camping Stoves,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:11,success,,58511.0,388.0,2038.0,Gas One,0.3,0.485,6,0.152,0.48,0.85,55.99,73.3,top10 review wall,35
3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,5,True,40.0,never_scanned,,0,100,15,2026-09-02T22:38:11,success,,22548.0,57.0,290.0,ProSSS,0.2,0.495,3,0.357,0.71,0.95,20.99,83.5,,14
3398891,Cleaning Tools,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Cleaning Tools,5,True,40.0,never_scanned,,0,100,5,2026-09-02T22:38:11,success,,7926.0,38.0,330.0,STAR BRITE,0.6,0.47,1,0.258,0.18,0.78,27.49,68.3,brand concentration,55
3398991,Tools,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Tools,5,True,40.0,never_scanned,,0,100,7,2026-09-02T22:38:11,success,,12209.0,52.0,128.0,attwood,0.1,0.455,0,0.3,0.63,0.9,19.28,76.1,,27
10208099011,Spoke Tools,Sports & Outdoors > Sports > Cycling > Wheels & Accessories > Spokes & Parts > Spoke Tools,5,True,40.0,never_scanned,,0,100,2,2026-09-02T22:38:11,success,,6667.0,26.0,276.0,Pawfly,0.2,0.667,1,0.33,0.68,0.79,10.24,71.7,price band outside target,43
3416231,Tools,"Sports & Outdoors > Sports > Skates, Skateboards & Scooters > Skateboarding > Accessories > Tools",5,True,40.0,never_scanned,,0,100,1,2026-09-02T22:38:11,success,,9143.0,40.0,575.0,Bones,0.2,0.648,1,0.27,0.43,0.83,13.47,70.8,,47
12118748011,Ball Storage,Sports & Outdoors > Sports > Team Sports > Basketball > Accessories > Ball Storage,5,True,40.0,never_scanned,,0,100,11,2026-09-02T22:38:11,success,,34938.0,105.0,344.0,Hoiny,0.1,0.329,12,0.343,0.91,0.98,28.99,96.4,,1
10208160011,Indoor Paddleboard Storage,Sports & Outdoors > Sports > Water Sports > Surfing > Stand-Up Paddleboarding > Indoor Paddleboard Storage,5,True,40.0,never_scanned,,0,75,1,2026-09-02T22:38:11,success,,1532.0,7.0,226.0,StoreYourBoard,0.3,0.761,0,0.187,0.2,0.4,19.99,56.9,sales concentration,90
13398341,Patio Doors,Tools & Home Improvement > Building Supplies > Building Materials > Doors > Exterior Doors > Patio Doors,5,True,40.0,never_scanned,,0,60,0,2026-09-02T22:38:11,success,,314.0,0.0,0.0,ARK DESIGN,0.2,0.204,0,0.298,0.15,0.05,1399.0,66.8,price band outside target,64
3775401,Raised Toilet Seats,Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Raised Toilet Seats,5,True,40.0,never_scanned,,0,100,0,2026-09-02T22:38:11,success,,54197.0,254.0,3476.0,Drive Medical,0.1,0.535,6,0.38,0.5,0.9,57.5,90.0,top10 review wall,5
8624797011,Toilet Assistance Cushions,Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Toilet Assistance Cushions,5,True,40.0,never_scanned,,0,100,3,2026-09-02T22:38:11,success,,9618.0,19.0,174.0,Lunderg,0.1,0.825,0,0.367,0.73,0.69,18.04,68.1,sales concentration,56
8624798011,Toilet Assistance Steps,Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Toilet Assistance Steps,5,True,40.0,never_scanned,,0,100,30,2026-09-02T22:38:11,success,,127697.0,181.0,2206.0,Squatty Potty,0.4,0.605,11,0.347,0.69,0.98,24.99,85.3,top10 review wall; brand concentration,12
3775391,Toilet Safety Frames & Rails,Tools & Home Improvement > Kitchen & Bath Fixtures > Bathroom Fixtures > Bathroom Safety & Accessibility > Toilets & Toilet Aids > Toilet Safety Frames & Rails,5,True,40.0,never_scanned,,0,100,13,2026-09-02T22:38:11,success,,33529.0,60.0,1481.0,PELEGON,0.2,0.739,0,0.439,0.64,0.86,49.99,67.3,sales concentration,61
