product_form,count,direct_count,keyword_count,avg_price,median_price,avg_monthly_sales,median_monthly_sales,total_monthly_sales,sales_share,top3_sales_share,median_reviews,avg_rating,low_review_high_sales_count,top_materials,top_pack_counts,top_styles,price_p25,price_p75,new_listing_share_12m,opportunity_note
compatible disposable refill,5,5,0,16.8,15.11,3954.0,5133.0,19771.0,0.0582,0.9125,2077.0,4.4,1,microfiber:2,80:1; 20:1; 1:1,,13.18,18.73,0.4,需要供应商和评论验证
brand duster refill,3,0,3,13.27,14.94,14800.0,7375.0,44401.0,0.1306,1.0,3895.0,4.7,0,,11:2; 10:1,,12.44,14.94,0.0,供给少但需求可见；11-pack 已是主流，需靠材质/清洗/尺寸差异化
cleaning agent,1,0,1,9.99,9.99,5439.0,5439.0,5439.0,0.016,1.0,26698.0,4.4,0,,1:1,,9.99,9.99,0.0,供给少但需求可见
dust removal tool,71,0,71,18.59,13.28,3052.0,1508.0,216716.0,0.6377,0.2942,1118.0,4.4,15,microfiber:30; wood/bamboo:4; metal:4,1:64; 2:2; 18:1,farmhouse/natural:4,9.73,18.23,0.1831,多件套可能仍有切入空间
duster refill kit,14,0,14,17.98,20.98,3013.0,1402.0,42184.0,0.1241,0.6037,506.0,4.3,4,microfiber:4,1:5; 20:3; 30:2,,9.95,23.04,0.4286,需要供应商和评论验证
lab chemical,1,0,1,38.0,38.0,2185.0,2185.0,2185.0,0.0064,1.0,10922.0,4.6,0,,1:1,,38.0,38.0,0.0,供给少但需求可见
reusable duster refill,4,0,4,11.27,9.49,2077.0,1864.0,8307.0,0.0244,0.8141,454.0,4.2,2,microfiber:2,8:2; 4:1; 12:1,,8.99,11.77,0.5,供给少但需求可见；评分改良空间；8-pack 已是主流，需靠材质/清洗/尺寸差异化
mop,1,0,1,19.99,19.99,844.0,844.0,844.0,0.0025,1.0,1077.0,4.2,0,,1:1,,19.99,19.99,0.0,供给少但需求可见；评分改良空间
