image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
17,B004HICOPA,https://www.amazon.com/dp/B004HICOPA,"MACKENZIE-CHILDS Tea Kettle, 2 Quarts, Black-and-White Courtly Check | Hand-painted design, made from enameled steel with a wooden handle, ideal for serving coffee, tea, and other hot beverages",stovetop kettle,wood/bamboo,1,https://m.media-amazon.com/images/I/71aukFrhT5L.jpg,,,,,,,
18,B0G2YFD1GM,https://www.amazon.com/dp/B0G2YFD1GM,"MACKENZIE-CHILDS Cutting Boards Set, Brown-and-White Mocha Check | Decorative cutting boards, made from tempered glass, includes small (10“ x 8“) and large (15.75“ x 12“) sizes, set of 2",combo cutting board,plastic,2,https://m.media-amazon.com/images/I/71jvLqJ7FWL.jpg,research/B0CV7H2DLQ/images/18_B0G2YFD1GM.jpg,,,,,,
19,B0F5SNL928,https://www.amazon.com/dp/B0F5SNL928,"MACKENZIE-CHILDS Glass Soap Pump, Black-and-White Courtly Check | Hand-applied design, liquid soap dispenser for bathroom or kitchen, 3' W x 3' L x 8.5' H",combo soap dish,plastic,1,https://m.media-amazon.com/images/I/41RDYrOP58L._AC_.jpg,research/B0CV7H2DLQ/images/19_B0F5SNL928.jpg,,,,,,
20,B0DPJBW4CJ,https://www.amazon.com/dp/B0DPJBW4CJ,"MACKENZIE-CHILDS Utensil Caddy Set with Kitchen Utensils, Brown-and-White Mocha Check",combo caddy,silicone,1,https://m.media-amazon.com/images/I/71bsFsF7ayL.jpg,research/B0CV7H2DLQ/images/20_B0DPJBW4CJ.jpg,,,,,,
21,B0DS1NRY83,https://www.amazon.com/dp/B0DS1NRY83,"MACKENZIE-CHILDS Enamel Curiosity Pot, Decorative Container for Home Decor, Pink-and-White Rosy Check",jar,plastic,1,https://m.media-amazon.com/images/I/61zy31o4JpL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/21_B0DS1NRY83.jpg,,,,,,
22,B0DS1QNNR1,https://www.amazon.com/dp/B0DS1QNNR1,"MACKENZIE-CHILDS Ceramic Tray, Eternity Trinket | Hand-painted design, unique tray for bathroom or kitchen decor, 5.25' W x 9' L x 1.25' H",combo tray,unknown,1,https://m.media-amazon.com/images/I/61cyGW-S8AL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/22_B0DS1QNNR1.jpg,,,,,,
23,B0DM8CFYBT,https://www.amazon.com/dp/B0DM8CFYBT,"MACKENZIE-CHILDS Enamel Pedestal Platter, Round Cake Stand, Mini, Pink-and-White Rosy Check",cake stand,unknown,1,https://m.media-amazon.com/images/I/61qQZlpx71L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/23_B0DM8CFYBT.jpg,,,,,,
24,B0G3YWBQ1N,https://www.amazon.com/dp/B0G3YWBQ1N,"MACKENZIE-CHILDS Acrylic Wine Goblet Set, Black Check | Hand-applied design, stemmed drinking glasses, 3.15“ dia. x 7.5“ H, 12-ounce capacity per glass, set of 4",combo drinking cup,unknown,4,https://m.media-amazon.com/images/I/61og++vAEJL.jpg,research/B0CV7H2DLQ/images/24_B0G3YWBQ1N.jpg,,,,,,
25,B0F4SYHXH2,https://www.amazon.com/dp/B0F4SYHXH2,"MACKENZIE-CHILDS Enamel Baking Pan, 8“ x 8“, Brown-and-White Mocha Check | Hand-painted square oven pan for baking and serving, made from enameled steel, ideal for casseroles, cakes, and more",baking pan,unknown,1,https://m.media-amazon.com/images/I/615L+iO9T-L.jpg,,,,,,,
26,B0DS1QH1VF,https://www.amazon.com/dp/B0DS1QH1VF,"MACKENZIE-CHILDS Ceramic Salt & Pepper Set, Black-and-White Courtly Check | Hand-applied design, farmhouse salt and pepper shaker set, 2“ dia. x 3.5“ H (each)",combo food shaker,plastic,1,https://m.media-amazon.com/images/I/81SQY130oOL.jpg,,,,,,,
27,B0GXYZW794,https://www.amazon.com/dp/B0GXYZW794,"11' Pink Ginger Jar with Lid | Porcelain, Hand-Painted Scenic Temple, Home Decor Accent, Interior Design, Chinoiserie Decorative Vase",394,unknown,1,https://m.media-amazon.com/images/I/71WNyMEKU7L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/27_B0GXYZW794.jpg,,,,,,
28,B0DS1DGGSM,https://www.amazon.com/dp/B0DS1DGGSM,"MACKENZIE-CHILDS Ceramic Heart Vase, Black-and-White Courtly Check | Hand-applied design, unique flower vase decor, tall, 2.75' top dia. x 4.25' bottom dia. x 8.25' H, 20-ounce capacity",vase,unknown,1,https://m.media-amazon.com/images/I/51veFBFnWQL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/28_B0DS1DGGSM.jpg,,,,,,
29,B0H7JW2YK7,https://www.amazon.com/dp/B0H7JW2YK7,"MACKENZIE-CHILDS Glass Vase, Light-Blue-and-White Sky Check",mackenzie childs glass,unknown,1,https://m.media-amazon.com/images/I/61VK5Z3OTZL.jpg,research/B0CV7H2DLQ/images/29_B0H7JW2YK7.jpg,,,,,,
30,B0DQ65V82P,https://www.amazon.com/dp/B0DQ65V82P,"MACKENZIE-CHILDS 4x6 Picture Frame, Pink-and-White Rosy Check | Fits 4x6 photos, made from enameled steel with glass pane, linen easel back, full frame size is 9“ W x 11“ H",2681,linen,1,https://m.media-amazon.com/images/I/41Qgy-PxxEL.jpg,research/B0CV7H2DLQ/images/30_B0DQ65V82P.jpg,,,,,,
31,B0BZ9KR1CZ,https://www.amazon.com/dp/B0BZ9KR1CZ,"MACKENZIE-CHILDS Marquee Pineapple Sculpture, Courtly Harlequin | Hand-painted checkered design, standing pineapple sculpture, made from resin, 5' dia. x 12' H",figurine,unknown,1,https://m.media-amazon.com/images/I/41jdrV-ffPL._AC_.jpg,research/B0CV7H2DLQ/images/31_B0BZ9KR1CZ.jpg,,,,,,
32,B0FRFMP3JH,https://www.amazon.com/dp/B0FRFMP3JH,"Pink Floral Ceramic Ginger Jar with Poetry Design, Hand-Painted White Blossoms on Pink Background, Decorative Vase with Ball Lid, Chinoiserie Home Decor for Living Room, Shelf",jar,unknown,1,https://m.media-amazon.com/images/I/516LSFnhMVL._AC_SL1000_.jpg,research/B0CV7H2DLQ/images/32_B0FRFMP3JH.jpg,,,,,,
33,B0DS1Q4NXM,https://www.amazon.com/dp/B0DS1Q4NXM,"MACKENZIE-CHILDS LED Cafe Table Lamp, Black-and-White Courtly Check",lamp,brass,1,https://m.media-amazon.com/images/I/61ofCUdyO6L.jpg,,,,,,,
34,B0DY89Z7LM,https://www.amazon.com/dp/B0DY89Z7LM,"MACKENZIE-CHILDS Large Enamel Vase, Unique Flower-Vase Decor for Living Room, Black-and-White Courtly Check",vase,unknown,1,https://m.media-amazon.com/images/I/81yKI9RCt7L._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/34_B0DY89Z7LM.jpg,,,,,,
35,B0CQMVYDB8,https://www.amazon.com/dp/B0CQMVYDB8,"MACKENZIE-CHILDS Sterling Check Enamel Canister, Gray-and-White Kitchen Storage Container with Lid, Mini",combo jar,plastic,1,https://m.media-amazon.com/images/I/71rPG5sj9KL.jpg,research/B0CV7H2DLQ/images/35_B0CQMVYDB8.jpg,,,,,,
36,B0GW87NNYW,https://www.amazon.com/dp/B0GW87NNYW,"7.85 Inch Pink Ceramic Ginger Jar, Hand-Painted Peony Chinoiserie Decorative Vase for Flowers, Porcelain Temple Jars with Lids for Kitchen, Living Room, Office or Bookshelf",combo 231,unknown,1,https://m.media-amazon.com/images/I/61gD4seXMPL.jpg,,,,,,,
37,B0F5JYGVN7,https://www.amazon.com/dp/B0F5JYGVN7,"MACKENZIE-CHILDS Enamel Canister, Small, Wild Rose Brown",combo food storage container,plastic,1,https://m.media-amazon.com/images/I/71Otnm+kWhL.jpg,research/B0CV7H2DLQ/images/37_B0F5JYGVN7.jpg,,,,,,
38,B0DDVWN8BZ,https://www.amazon.com/dp/B0DDVWN8BZ,Galt International Pink Floral Chinoiserie Ceramic Temple Jar 18' w/Lid - Ginger Jar Home & Kitchen Decor for Interior Design - Pink & White,combo jar,unknown,1,https://m.media-amazon.com/images/I/71e34xclAZL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/38_B0DDVWN8BZ.jpg,,,,,,
39,B0G5WZFHKM,https://www.amazon.com/dp/B0G5WZFHKM,"Bico Spice Cottages 7.5-Inch Pink Ceramic Cookie Jar, Hand-Painted House-Shaped Airtight Container for Cookies, Treats & Snacks",food storage container,silicone,1,https://m.media-amazon.com/images/I/61S1vmfeMgL.jpg,,,,,,,
40,B0CGVHHQ11,https://www.amazon.com/dp/B0CGVHHQ11,"MACKENZIE-CHILDS Enamel Canister Set, Small (38 oz.), Medium (48 oz.), and Large (64 oz.) Kitchen Containers, Black-and-White Courtly Check",combo 686,silicone,1,https://m.media-amazon.com/images/I/71A3INYPktL._AC_SL1500_.jpg,research/B0CV7H2DLQ/images/40_B0CGVHHQ11.jpg,,,,,,
