image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
22,B0DK19TQSG,https://www.amazon.com/dp/B0DK19TQSG,"Senowi 60 Count Electrostatic Duster Refills Compatible with Swiffer Duster,Multi-Surface Dusting Refills,Microfibre Dusters for Cleaning with 1Pcs Retractable Handle,Unscented",duster refill kit,microfiber,1,,,,,,,,
23,B0FPF5HCTM,https://www.amazon.com/dp/B0FPF5HCTM,"8 Pack Reusable Duster Refill Compatible with Swiffer Hand Duster, 360 Heavy Duty Duster Refills for Cleaning, Office, Ceiling Fan (Handle is Not Included)",reusable duster refill,unknown,8,https://m.media-amazon.com/images/I/716KWoqI38L.jpg,research/B0G34LYYWP/images/23_B0FPF5HCTM.jpg,,,,,,
24,B0DFV86GLZ,https://www.amazon.com/dp/B0DFV86GLZ,"Redones Dusters for Swiffer - Reusable Duster Refill Compatible with Swiffer Hand Duster, 360 Heavy Duty Dusters Refills 4 Pack(Handle is Not Included)",reusable duster refill,unknown,4,,,,,,,,
25,B0DZ22TD18,https://www.amazon.com/dp/B0DZ22TD18,12 PCS Microfiber Reusable Duster Refills for Swiffer Duster,reusable duster refill,microfiber,12,,,,,,,,
26,B0GTLGSD8Y,https://www.amazon.com/dp/B0GTLGSD8Y,"8 Pack Reusable Duster Pads Compatible with Swiffer Duster Refills, Washable Microfiber Dusting Cloths for Cleaning Home, Car, Pet, Furniture, Fans, Blinds",reusable duster refill,microfiber,8,,,,,,,,
27,B07DBCDCTX,https://www.amazon.com/dp/B07DBCDCTX,"Swiffer Duster Kit with 3 ft Extendable Handle, Dusters for Cleaning, Set Includes 1 Extension Pole and 12 Heavy Duty Dusting Refills Dust Cleaner, Long Extended Wand for Ceiling Fans and Walls",dust removal tool,unknown,1,,,,,,,,
28,B00IOW7NGK,https://www.amazon.com/dp/B00IOW7NGK,"Swiffer Dusters Starter Kit, Kit Includes 1 Handle and 5 Dusters",dust removal tool,unknown,1,,,,,,,,
29,B08SW8LFJQ,https://www.amazon.com/dp/B08SW8LFJQ,"Cobweb Duster with ExtensionPole,Dusters for Cleaning with 2 DusterHeads | Washable duster,Cobweb Duster,Corner Brush,Telescoping Pole for Ceiling Fan(Blue)",dust removal tool,unknown,1,,,,,,,,
30,B0C6DQS74L,https://www.amazon.com/dp/B0C6DQS74L,"IVYROLL Cobweb Duster with Extension Pole | Spider Web Brush & Ceiling Cleaning Kit, 100“ Microfiber Feather Duster Cleaner with Washable Head for Fan, Furniture, Home",dust removal tool,microfiber,1,,,,,,,,
31,B0DKGZMQPR,https://www.amazon.com/dp/B0DKGZMQPR,"DRQ Ceiling Fan Cleaner Duster with 13-48 in Extension Pole, Blue | Detachable, Washable Microfiber Brush Head Is Reusable for Ceiling Fan Blades, Walls, Bookshelves, Door Tops and Window Tops",dust removal tool,microfiber,1,,,,,,,,
32,B0FCRFQPT7,https://www.amazon.com/dp/B0FCRFQPT7,Amazon Basics 360° Heavy Duty Duster Kit with Extendable Handle and 6 Microfiber Plumes Refills for Pet Hair,dust removal tool,microfiber,1,,,,,,,,
33,B0GN3W1RFF,https://www.amazon.com/dp/B0GN3W1RFF,"Swiffer Duster Kit with 6 ft Super Extendable Handle, Heavy Duty Starter Kit with 8 Refills, Lemon Scent",dust removal tool,unknown,1,,,,,,,,
34,B098NRZL3Z,https://www.amazon.com/dp/B098NRZL3Z,"SetSail Extra-Long Dusters with Extension Pole 100-inch for Cleaning, Gray",dust removal tool,unknown,1,,,,,,,,
35,B0B6G147W6,https://www.amazon.com/dp/B0B6G147W6,"Tiumso Microfiber Feather Duster 5-in-1 Kit, Dusters for Cleaning, Duster with Extension Pole 100 Inches, Cobweb Duster, Microfiber Dusters for High Ceilings and Fans, Blinds, Cars and Furniture",dust removal tool,microfiber,1,,,,,,,,
36,B01LRMN9ZM,https://www.amazon.com/dp/B01LRMN9ZM,"HARRIS Diatomaceous Earth Powder Duster with 6 Inch Extension Nozzle, for Easier Application of DE in Home & Outdoor Lawn and Garden Use",cleaning agent,unknown,1,,,,,,,,
37,B0GY1PXQKP,https://www.amazon.com/dp/B0GY1PXQKP,"Dusters Refill for Cleaning, Feather & Microfiber Duster Disposable Alternative, for Dusting Furniture, Blinds, Ceiling Fans, Walls, Helps Remove Allergens, New Lemon Scent, 18ct",dust removal tool,microfiber,18,,,,,,,,
38,B0DFGRZC2V,https://www.amazon.com/dp/B0DFGRZC2V,AIR U+ 6ft Extendable Duster with 20 Refills for Swiffer Dusters,dust removal tool,unknown,1,,,,,,,,
39,B0BGL8QGQ4,https://www.amazon.com/dp/B0BGL8QGQ4,Retractable Gap Dust Cleaner Cleaning Tools with 2 Microfiber Dusting Cloths Long Handle 60inches Washable and Retractable Duster Brush for Cleaning Under Appliances Furniture Couch Fridge,dust removal tool,microfiber,1,,,,,,,,
40,B07XGJQPLJ,https://www.amazon.com/dp/B07XGJQPLJ,"DELUX Microfiber Feather Duster Extendable Duster with 100 inches Extra Long Pole, Bendable Head & Long Handle Dusters for Cleaning Ceiling Fan, High Ceiling, Blinds, Furniture & Cars Gray",dust removal tool,microfiber,1,,,,,,,,
