keyword,search_volume,rank,show_share,clicks_90d,top3_asins,image_asin_count
hose bib splitter,11368.0,169263.0,50.41,2876.0,B08QCXF8VX; B0DSZ691QN; B0BXJPW6S1,10
brass hose splitter,20689.0,112387.0,39.98,2577.0,B0D98PNLQW; B083RTSYG5; B08QCXF8VX,10
3 way hose splitter,23900.0,72130.0,9.61,4371.0,B0GGN99JP2; B086MCB2KZ; B0G8YR6G32,10
nut splitter,12728.0,188372.0,-1.0,6439.0,B0C33NJTKJ; B08P6MT31W; B0G246T7LD,10
hose splitter 3 way,25679.0,66197.0,-1.0,4412.0,B0GGN99JP2; B086MCB2KZ; B0G8YR6G32,10
brass y valve hose splitter,559.0,687734.0,-1.0,-1.0,B083RTSYG5; B08QCXF8VX; B0D98PNLQW,10
garden hose t,211.0,1188885.0,-1.0,-1.0,B0D5CQM8MH; B0FK1TJ7HX; B0D98PNLQW,10
water spigot timer for hose,14.0,1867488.0,-1.0,-1.0,B006FLGHGE; B0917HZ6FN; B0BRRWPYTG,10
