image_index,asin,listing_url,title,product_form,material,pack_count,main_image_url,image_file,visual_product_form,visual_material_signal,visual_pack_count,visual_closure,visual_style,visual_notes
22,B0DKFDHHGD,https://www.amazon.com/dp/B0DKFDHHGD,"Heavy Duty Duster Refills, Disposable Dusters Kit for Cleaning Dusting Furniture Blind Ceiling Fan, Multi Surface 360 Feather Duster(60)+3FT Extended Handle +1 Handle",duster refill kit,unknown,1,,,,,,,,
23,B08R2NR6XB,https://www.amazon.com/dp/B08R2NR6XB,"Duster for Cleaning, 10-29“ Extension Pole, 2 Washable Heads, Yellow | Microfiber Heads, Wet Or Dry, Detachable, Hand Washable, Easy Storage, For Cars, Offices, Windows, Furniture And Ceiling Fans",dust removal tool,microfiber,1,,,,,,,,
24,B0DXDRLQLF,https://www.amazon.com/dp/B0DXDRLQLF,"JOYMOOP Disposable Electrostatic Duster for Cleaning, with 2 Handles & 24 Ct Yellow Heavy Duty Refills for Swiffer Feather Duster, Household Cleaning Tool for Electronics, Dusting Furniture, Blinds",dust removal tool,unknown,24,,,,,,,,
25,B0BP1GM5DH,https://www.amazon.com/dp/B0BP1GM5DH,"VITEVER Twist-On Cobweb Duster Head Brush, Fits Standard 3/4 inch Threaded Poles, Attachment Spider Web Duster Brush for Outdoor & Indoor Cleaning",dust removal tool,unknown,1,,,,,,,,
26,B0D3DN4CKK,https://www.amazon.com/dp/B0D3DN4CKK,"3 Pcs Fan Cleaning Brush Bendable Cobweb Duster - Microfiber Head, Washable - Ideal for Ceiling Fan Blades, Air Vents, Curtains, Cars - Reusable Dust Remover",dust removal tool,microfiber,3,,,,,,,,
27,B0FVLXFM75,https://www.amazon.com/dp/B0FVLXFM75,"SetSail Cobweb Duster with Extension Pole, for Cobweb Cleaning,Blue | Retractable Dusters,90-inch Long Handle,Ceiling Fan Spider Web Brush,for Outdoor Indoor High Ceilings",dust removal tool,unknown,1,,,,,,,,
28,B0F17JYBJ3,https://www.amazon.com/dp/B0F17JYBJ3,"Cobweb Duster with Extension Pole, Washable Cleaning Duster Set with 2 Duster Heads, Corner Brush, 15-110-Inch Telescoping Pole for high Ceiling Fans, Long Duster for high Ceilings，Spider Web Brush",dust removal tool,unknown,1,,,,,,,,
29,B07Z7TXPLQ,https://www.amazon.com/dp/B07Z7TXPLQ,"Cobweb Duster with Extension Pole - 6 FT Lightweight Stainless Steel Extendable Duster Ceiling Fan Duster for High Ceilings, Medium Stiff PET Bristle Spider Web Brush for Indoor/Outdoor Cleaning",dust removal tool,stainless steel,1,,,,,,,,
30,B0GH7H6Z1T,https://www.amazon.com/dp/B0GH7H6Z1T,"20 Pack Heavy Duty Duster Refills for Swiffer, Multi-Surface 360° Disposable Dusters Kit for Cleaning Dusting Electronics Furniture Blind Ceiling Fan (Handle is Not Included)",duster refill kit,unknown,20,,,,,,,,
31,B0FPF5HCTM,https://www.amazon.com/dp/B0FPF5HCTM,"8 Pack Reusable Duster Refill Compatible with Swiffer Hand Duster, 360 Heavy Duty Duster Refills for Cleaning, Office, Ceiling Fan (Handle is Not Included)",reusable duster refill,unknown,8,https://m.media-amazon.com/images/I/716KWoqI38L.jpg,/Users/y33/项目/Codex/2026-05-06/amz-listing/research/B0G34LYYWP/images/31_B0FPF5HCTM.jpg,,,,,,
32,B0DRDNGFWK,https://www.amazon.com/dp/B0DRDNGFWK,O-Cedar Flex & Catch Heavy Duty Dusting Kit with 3 Disposable Duster Refills | New & Improved Model | Extendable 3 Ft Handle with Stay-On Duster Hook | Traps 3X More Dust Than Feather Dusters,duster refill kit,unknown,1,,,,,,,,
33,B0D9VQFLPZ,https://www.amazon.com/dp/B0D9VQFLPZ,"Fan Cleaner Brush, Fan Brush Cobweb Duster Microfiber Duster Ideal for Ceiling Duster, Household Duster for Curtains, Fan Cleaner for Box Fan (2 Pack) (Blue)",dust removal tool,microfiber,2,,,,,,,,
34,B0C1RNZGKG,https://www.amazon.com/dp/B0C1RNZGKG,"Swiffer Dusters Heavy Duty Multi-Surface Duster Refills for Cleaning, Lavender, 11 Count",brand duster refill,unknown,11,,,,,,,,
35,B09Z7QQMC9,https://www.amazon.com/dp/B09Z7QQMC9,"Ostrich Feather Dusters with Wooden Handles, 14‘‘ | 2-piece set, 14 in length, Natural ostrich feathers, Wooden handles, For home and office dusting",dust removal tool,wood/bamboo,1,,,,,,,,
36,B0CMWWXHFJ,https://www.amazon.com/dp/B0CMWWXHFJ,"20 Feet High Reach Duster Kit with 2-14 ft Extension Pole, Cobweb & Corner Brush Cleaning Duster Kit for Cleaning, Microfiber Feather Duster Cleaner with Washable Head for Ceiling Fan, Furniture, Home",dust removal tool,microfiber,1,,,,,,,,
37,B0CYG5GMDS,https://www.amazon.com/dp/B0CYG5GMDS,"Storystore Ceiling Fan Cleaner Duster, Adjustable Microfiber Duster | 4.2FT Fan Cleaner with 13-50“ Pole for Cleaning Fan Blades, Cobwebs, Walls, Doors and Windows, Brush for Dust Removal",dust removal tool,microfiber,1,,,,,,,,
38,B08KXP7XKG,https://www.amazon.com/dp/B08KXP7XKG,"TIMIVO Mini Duster for Cleaning, 360° Bendable Hand Dusters with Extension Pole, Washable Small Duster for Car Interior, Office, Furniture",dust removal tool,unknown,1,,,,,,,,
39,B01N39V5SU,https://www.amazon.com/dp/B01N39V5SU,"HARRIS Diatomaceous Earth Food Grade, 10lb with Powder Duster Included in The Bag",lab chemical,unknown,1,,,,,,,,
40,B0FZBWLQBF,https://www.amazon.com/dp/B0FZBWLQBF,SetSail Heavy Duty Duster Refills for Swiffer Duster with 1 Handle，30 Count,duster refill kit,unknown,30,,,,,,,,
